#Sno.,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1
268,2.59,375.1253333,0.077824564,0.741510269,25,440.92,0.168806922,6.917186567,3.85313226,1.455537038,2.738448036,0.722462299,18.40674181,1.7498
269,2.56,1423.150333,0.033470005,0.222861252,66,547.72,0.463761203,6.251163405,3.403872277,0.192928727,2.062084371,0.302318499,1.989484139,1.1043
270,2.52,1020.109,0.033470005,0.265583128,50,517.23,0.44280136,6.426778343,3.527956198,0.232385237,2.176854526,0.335788504,2.176011643,1.147
271,2.5,610.1686667,0.077824564,0.001088455,42,531.64,0.079996033,6.124006775,3.101009551,1.808468715,2.307881575,0.709672947,0.579886308,1.3228
272,2.3,212.294,0.077824564,1.760032448,18,421.85,0.170117367,6.731176607,3.412579921,1.661799344,3.160155978,1.235124811,0,1.5937
273,2.1,375.0286667,0.077824564,0.000272114,30,467.38,0.118252248,6.752538362,3.604148078,2.184802184,2.706509133,0.666406844,1.15695598,1.5791
274,1.76,642.9906667,0.077824564,1.467237934,40,479.03,0.523117671,6.657671851,3.643876702,0.371163305,2.42587883,0.543955607,0.680600698,1.6879
275,1.74,435.703,0.077824564,2.074051843,20,448.11,0.374210164,6.815126454,3.760885662,1.424788172,2.475009831,0.558377641,3.070109309,1.4173
276,1.54,351.5596667,0.077824564,0.748857343,25,436.05,0.184363943,7.043788357,3.956535527,1.422067033,2.782399767,0.654433834,4.599248453,1.777
277,1.34,760.187,0.077824564,1.974730284,33,520.25,0.441313714,6.135829306,3.170942813,0.893621917,2.308062539,0.808722393,3.283919874,1.2684
278,1.17,494.5706667,0.077824564,1.98860809,25,470.17,0.487823959,6.325698656,3.299380555,1.162198297,2.436761291,0.927908263,2.910385552,1.3499
279,1,578.8093333,0.077824564,1.901803769,24,489.94,0.203082111,6.224184676,3.168221674,1.411454593,2.443794289,0.919744848,0.03129361,1.3575
280,0.5,475.5143333,0.077824564,2.018812729,26,598.59,0.210358708,6.162820824,3.062641497,1.566287379,2.475103542,0.487900151,0.000608276,0.7555
